Time,MpKrakBulwar-CO-1g
2017-01-01T01:00:00,1.28821
2017-01-01T02:00:00,1.44187
2017-01-01T03:00:00,1.64016
2017-01-01T04:00:00,1.73092
2017-01-01T05:00:00,1.54769
2017-01-01T06:00:00,1.56424
2017-01-01T07:00:00,1.50569
2017-01-01T08:00:00,1.41341
2017-01-01T09:00:00,1.30331
2017-01-01T10:00:00,1.19849
2017-01-01T11:00:00,1.06573
2017-01-01T12:00:00,1.02237
2017-01-01T13:00:00,1.03324
2017-01-01T14:00:00,0.89971
2017-01-01T15:00:00,0.91861
2017-01-01T16:00:00,1.18011
2017-01-01T17:00:00,1.37137
2017-01-01T18:00:00,1.64294
2017-01-01T19:00:00,2.43519
2017-01-01T20:00:00,2.46926
2017-01-01T21:00:00,2.66133
2017-01-01T22:00:00,2.33082
2017-01-01T23:00:00,2.26932
2017-01-02T00:00:00,2.31668
2017-01-02T01:00:00,2.08726
2017-01-02T02:00:00,1.81158
2017-01-02T03:00:00,1.58872
2017-01-02T04:00:00,1.34725
2017-01-02T05:00:00,1.26332
2017-01-02T06:00:00,1.50631
2017-01-02T07:00:00,1.76348
2017-01-02T08:00:00,1.70729
2017-01-02T09:00:00,1.63949
2017-01-02T10:00:00,0.91698
2017-01-02T11:00:00,0.62094
2017-01-02T12:00:00,0.66431
2017-01-02T13:00:00,0.64006
2017-01-02T14:00:00,0.58958
2017-01-02T15:00:00,0.69193
2017-01-02T16:00:00,0.75837
2017-01-02T17:00:00,0.78895
2017-01-02T18:00:00,0.72781
2017-01-02T19:00:00,0.78458
2017-01-02T20:00:00,0.7981
2017-01-02T21:00:00,0.80815
2017-01-02T22:00:00,0.82549
2017-01-02T23:00:00,0.8501
2017-01-03T00:00:00,0.82713
2017-01-03T01:00:00,0.80649
2017-01-03T02:00:00,0.75931
2017-01-03T03:00:00,0.69114
2017-01-03T04:00:00,0.70482
2017-01-03T05:00:00,0.70755
2017-01-03T06:00:00,0.76524
2017-01-03T07:00:00,0.77673
2017-01-03T08:00:00,0.80738
2017-01-03T09:00:00,0.82567
2017-01-03T10:00:00,0.67802
2017-01-03T11:00:00,0.61756
2017-01-03T12:00:00,0.56321
2017-01-03T13:00:00,0.50288
2017-01-03T14:00:00,0.49981
2017-01-03T15:00:00,0.55497
2017-01-03T16:00:00,0.56419
2017-01-03T17:00:00,0.56196
2017-01-03T18:00:00,0.55707
2017-01-03T19:00:00,0.5648
2017-01-03T20:00:00,0.48907
2017-01-03T21:00:00,0.48865
2017-01-03T22:00:00,0.53291
2017-01-03T23:00:00,0.47664
2017-01-04T00:00:00,0.44431
2017-01-04T01:00:00,0.40961
2017-01-04T02:00:00,0.38406
2017-01-04T03:00:00,0.36899
2017-01-04T04:00:00,0.37988
2017-01-04T05:00:00,0.3828
2017-01-04T06:00:00,0.43747
2017-01-04T07:00:00,0.48432
2017-01-04T08:00:00,0.53819
2017-01-04T09:00:00,0.55178
2017-01-04T10:00:00,
2017-01-04T11:00:00,0.48818
2017-01-04T12:00:00,0.51624
2017-01-04T13:00:00,0.45617
2017-01-04T14:00:00,0.44452
2017-01-04T15:00:00,0.44205
2017-01-04T16:00:00,0.48388
2017-01-04T17:00:00,0.47462
2017-01-04T18:00:00,0.45375
2017-01-04T19:00:00,0.45532
2017-01-04T20:00:00,0.46441
2017-01-04T21:00:00,0.45832
2017-01-04T22:00:00,0.43901
2017-01-04T23:00:00,0.43141
2017-01-05T00:00:00,0.43262
2017-01-05T01:00:00,0.41354
2017-01-05T02:00:00,0.37297
2017-01-05T03:00:00,0.34627
2017-01-05T04:00:00,0.39294
2017-01-05T05:00:00,0.37663
2017-01-05T06:00:00,0.46921
2017-01-05T07:00:00,0.41101
2017-01-05T08:00:00,0.38431
2017-01-05T09:00:00,0.42342
2017-01-05T10:00:00,0.3502
2017-01-05T11:00:00,0.33672
2017-01-05T12:00:00,0.33721
2017-01-05T13:00:00,0.32439
2017-01-05T14:00:00,0.32736
2017-01-05T15:00:00,0.35705
2017-01-05T16:00:00,0.4292
2017-01-05T17:00:00,0.49465
2017-01-05T18:00:00,0.50615
2017-01-05T19:00:00,0.47215
2017-01-05T20:00:00,0.42285
2017-01-05T21:00:00,0.41474
2017-01-05T22:00:00,0.35951
2017-01-05T23:00:00,0.31429
2017-01-06T00:00:00,0.29108
2017-01-06T01:00:00,0.28569
2017-01-06T02:00:00,0.29204
2017-01-06T03:00:00,0.31025
2017-01-06T04:00:00,0.31956
2017-01-06T05:00:00,0.30387
2017-01-06T06:00:00,0.32229
2017-01-06T07:00:00,0.31571
2017-01-06T08:00:00,0.33761
2017-01-06T09:00:00,0.37323
2017-01-06T10:00:00,0.37185
2017-01-06T11:00:00,0.35159
2017-01-06T12:00:00,0.32042
2017-01-06T13:00:00,0.32002
2017-01-06T14:00:00,0.34117
2017-01-06T15:00:00,0.35255
2017-01-06T16:00:00,0.37282
2017-01-06T17:00:00,0.39589
2017-01-06T18:00:00,0.44902
2017-01-06T19:00:00,0.45988
2017-01-06T20:00:00,0.46759
2017-01-06T21:00:00,0.4763
2017-01-06T22:00:00,0.4706
2017-01-06T23:00:00,0.49504
2017-01-07T00:00:00,0.5414
2017-01-07T01:00:00,0.59241
2017-01-07T02:00:00,0.54896
2017-01-07T03:00:00,0.86279
2017-01-07T04:00:00,0.78907
2017-01-07T05:00:00,0.87402
2017-01-07T06:00:00,0.93162
2017-01-07T07:00:00,1.19005
2017-01-07T08:00:00,1.24307
2017-01-07T09:00:00,1.3506
2017-01-07T10:00:00,1.27756
2017-01-07T11:00:00,0.83335
2017-01-07T12:00:00,0.71537
2017-01-07T13:00:00,0.76591
2017-01-07T14:00:00,0.74735
2017-01-07T15:00:00,0.80388
2017-01-07T16:00:00,0.821
2017-01-07T17:00:00,0.82802
2017-01-07T18:00:00,0.84306
2017-01-07T19:00:00,1.01034
2017-01-07T20:00:00,1.14534
2017-01-07T21:00:00,1.24172
2017-01-07T22:00:00,1.3721
2017-01-07T23:00:00,1.52828
2017-01-08T00:00:00,1.62404
2017-01-08T01:00:00,1.89629
2017-01-08T02:00:00,2.10363
2017-01-08T03:00:00,2.19644
2017-01-08T04:00:00,2.15276
2017-01-08T05:00:00,
2017-01-08T06:00:00,
2017-01-08T07:00:00,2.66232
2017-01-08T08:00:00,2.61195
2017-01-08T09:00:00,2.25839
2017-01-08T10:00:00,1.97476
2017-01-08T11:00:00,1.79226
2017-01-08T12:00:00,1.89379
2017-01-08T13:00:00,1.8743
2017-01-08T14:00:00,1.57663
2017-01-08T15:00:00,1.15966
2017-01-08T16:00:00,0.46936
2017-01-08T17:00:00,0.58355
2017-01-08T18:00:00,0.69895
2017-01-08T19:00:00,0.82585
2017-01-08T20:00:00,0.7902
2017-01-08T21:00:00,0.79412
2017-01-08T22:00:00,0.8154
2017-01-08T23:00:00,0.75491
2017-01-09T00:00:00,0.7531
2017-01-09T01:00:00,1.44212
2017-01-09T02:00:00,1.4185
2017-01-09T03:00:00,1.53823
2017-01-09T04:00:00,1.68442
2017-01-09T05:00:00,1.61703
2017-01-09T06:00:00,1.73598
2017-01-09T07:00:00,1.88774
2017-01-09T08:00:00,1.96989
2017-01-09T09:00:00,
2017-01-09T10:00:00,2.03907
2017-01-09T11:00:00,1.74947
2017-01-09T12:00:00,1.25933
2017-01-09T13:00:00,1.12909
2017-01-09T14:00:00,0.86718
2017-01-09T15:00:00,0.96114
2017-01-09T16:00:00,1.2422
2017-01-09T17:00:00,1.12277
2017-01-09T18:00:00,1.17097
2017-01-09T19:00:00,1.19999
2017-01-09T20:00:00,1.32855
2017-01-09T21:00:00,1.36305
2017-01-09T22:00:00,1.52335
2017-01-09T23:00:00,1.64904
2017-01-10T00:00:00,1.34504
2017-01-10T01:00:00,1.14615
2017-01-10T02:00:00,0.91548
2017-01-10T03:00:00,0.97908
2017-01-10T04:00:00,1.18217
2017-01-10T05:00:00,1.26115
2017-01-10T06:00:00,1.21635
2017-01-10T07:00:00,1.18228
2017-01-10T08:00:00,1.2507
2017-01-10T09:00:00,1.39849
2017-01-10T10:00:00,1.00226
2017-01-10T11:00:00,0.87397
2017-01-10T12:00:00,0.88307
2017-01-10T13:00:00,0.72356
2017-01-10T14:00:00,0.76726
2017-01-10T15:00:00,0.98753
2017-01-10T16:00:00,1.51856
2017-01-10T17:00:00,1.38743
2017-01-10T18:00:00,1.6502
2017-01-10T19:00:00,2.10276
2017-01-10T20:00:00,2.53158
2017-01-10T21:00:00,2.79557
2017-01-10T22:00:00,3.0514
2017-01-10T23:00:00,2.9332
2017-01-11T00:00:00,3.08009
2017-01-11T01:00:00,3.39582
2017-01-11T02:00:00,3.61439
2017-01-11T03:00:00,3.40258
2017-01-11T04:00:00,3.09383
2017-01-11T05:00:00,3.08992
2017-01-11T06:00:00,3.19112
2017-01-11T07:00:00,3.15276
2017-01-11T08:00:00,3.00427
2017-01-11T09:00:00,3.13124
2017-01-11T10:00:00,3.95899
2017-01-11T11:00:00,4.03233
2017-01-11T12:00:00,3.39725
2017-01-11T13:00:00,2.9922
2017-01-11T14:00:00,2.10705
2017-01-11T15:00:00,2.11329
2017-01-11T16:00:00,1.74522
