Time,MpKrakBujaka-NO2-1g
2017-01-01T01:00:00,42.7714
2017-01-01T02:00:00,42.6764
2017-01-01T03:00:00,42.7985
2017-01-01T04:00:00,42.7274
2017-01-01T05:00:00,43.7949
2017-01-01T06:00:00,42.8479
2017-01-01T07:00:00,36.6897
2017-01-01T08:00:00,37.1448
2017-01-01T09:00:00,35.2066
2017-01-01T10:00:00,34.5305
2017-01-01T11:00:00,30.9925
2017-01-01T12:00:00,30.746
2017-01-01T13:00:00,37.9017
2017-01-01T14:00:00,32.1827
2017-01-01T15:00:00,46.7484
2017-01-01T16:00:00,84.3086
2017-01-01T17:00:00,94.5011
2017-01-01T18:00:00,94.5819
2017-01-01T19:00:00,97.0855
2017-01-01T20:00:00,77.7614
2017-01-01T21:00:00,
2017-01-01T22:00:00,54.7267
2017-01-01T23:00:00,48.0772
2017-01-02T00:00:00,44.5071
2017-01-02T01:00:00,39.7044
2017-01-02T02:00:00,34.8603
2017-01-02T03:00:00,32.0318
2017-01-02T04:00:00,33.5354
2017-01-02T05:00:00,40.3538
2017-01-02T06:00:00,41.8462
2017-01-02T07:00:00,50.4858
2017-01-02T08:00:00,56.1045
2017-01-02T09:00:00,56.9404
2017-01-02T10:00:00,48.3348
2017-01-02T11:00:00,44.5586
2017-01-02T12:00:00,55.7019
2017-01-02T13:00:00,42.8831
2017-01-02T14:00:00,29.0344
2017-01-02T15:00:00,33.022
2017-01-02T16:00:00,37.0556
2017-01-02T17:00:00,39.2024
2017-01-02T18:00:00,37.5857
2017-01-02T19:00:00,34.8
2017-01-02T20:00:00,34.0989
2017-01-02T21:00:00,33.4701
2017-01-02T22:00:00,33.6687
2017-01-02T23:00:00,32.6904
2017-01-03T00:00:00,31.7705
2017-01-03T01:00:00,33.1392
2017-01-03T02:00:00,29.4873
2017-01-03T03:00:00,27.2821
2017-01-03T04:00:00,29.3827
2017-01-03T05:00:00,28.1223
2017-01-03T06:00:00,29.3294
2017-01-03T07:00:00,34.6872
2017-01-03T08:00:00,43.4197
2017-01-03T09:00:00,63.5193
2017-01-03T10:00:00,48.4697
2017-01-03T11:00:00,38.9273
2017-01-03T12:00:00,28.7379
2017-01-03T13:00:00,29.8123
2017-01-03T14:00:00,29.3487
2017-01-03T15:00:00,32.4148
2017-01-03T16:00:00,34.0209
2017-01-03T17:00:00,40.2874
2017-01-03T18:00:00,47.2296
2017-01-03T19:00:00,40.6539
2017-01-03T20:00:00,36.2388
2017-01-03T21:00:00,26.4169
2017-01-03T22:00:00,17.9245
2017-01-03T23:00:00,13.6166
2017-01-04T00:00:00,10.8058
2017-01-04T01:00:00,8.2848
2017-01-04T02:00:00,6.65907
2017-01-04T03:00:00,6.75733
2017-01-04T04:00:00,7.99163
2017-01-04T05:00:00,9.71402
2017-01-04T06:00:00,13.3813
2017-01-04T07:00:00,16.5558
2017-01-04T08:00:00,33.4303
2017-01-04T09:00:00,38.5507
2017-01-04T10:00:00,36.4278
2017-01-04T11:00:00,35.0281
2017-01-04T12:00:00,25.8148
2017-01-04T13:00:00,19.5269
2017-01-04T14:00:00,21.7039
2017-01-04T15:00:00,25.1428
2017-01-04T16:00:00,33.7898
2017-01-04T17:00:00,24.3791
2017-01-04T18:00:00,23.8219
2017-01-04T19:00:00,21.1536
2017-01-04T20:00:00,19.7425
2017-01-04T21:00:00,21.536
2017-01-04T22:00:00,17.3434
2017-01-04T23:00:00,13.9395
2017-01-05T00:00:00,14.8382
