Time,MpKrakBujaka-O3-1g
2017-01-01T01:00:00,4.58318
2017-01-01T02:00:00,4.96785
2017-01-01T03:00:00,4.6296
2017-01-01T04:00:00,4.64297
2017-01-01T05:00:00,4.43412
2017-01-01T06:00:00,4.10947
2017-01-01T07:00:00,3.9123
2017-01-01T08:00:00,2.77231
2017-01-01T09:00:00,3.10114
2017-01-01T10:00:00,9.7281
2017-01-01T11:00:00,24.6515
2017-01-01T12:00:00,35.905
2017-01-01T13:00:00,37.9217
2017-01-01T14:00:00,47.1664
2017-01-01T15:00:00,33.8114
2017-01-01T16:00:00,6.21628
2017-01-01T17:00:00,3.85643
2017-01-01T18:00:00,5.75598
2017-01-01T19:00:00,6.82614
2017-01-01T20:00:00,6.73927
2017-01-01T21:00:00,6.52953
2017-01-01T22:00:00,
2017-01-01T23:00:00,3.54187
2017-01-02T00:00:00,3.7743
2017-01-02T01:00:00,4.59944
2017-01-02T02:00:00,5.11451
2017-01-02T03:00:00,3.97347
2017-01-02T04:00:00,5.06606
2017-01-02T05:00:00,2.83732
2017-01-02T06:00:00,3.29891
2017-01-02T07:00:00,2.90409
2017-01-02T08:00:00,2.48688
2017-01-02T09:00:00,3.11952
2017-01-02T10:00:00,8.36302
2017-01-02T11:00:00,15.5199
2017-01-02T12:00:00,10.641
2017-01-02T13:00:00,22.2835
2017-01-02T14:00:00,32.3734
2017-01-02T15:00:00,25.6545
2017-01-02T16:00:00,18.987
2017-01-02T17:00:00,15.5493
2017-01-02T18:00:00,16.1619
2017-01-02T19:00:00,15.6394
2017-01-02T20:00:00,11.6953
2017-01-02T21:00:00,8.28288
2017-01-02T22:00:00,6.0754
2017-01-02T23:00:00,5.81871
2017-01-03T00:00:00,6.49046
2017-01-03T01:00:00,5.90131
2017-01-03T02:00:00,10.9629
2017-01-03T03:00:00,14.2271
2017-01-03T04:00:00,12.9541
2017-01-03T05:00:00,15.5904
2017-01-03T06:00:00,16.7727
2017-01-03T07:00:00,17.4787
2017-01-03T08:00:00,11.8235
2017-01-03T09:00:00,5.22746
2017-01-03T10:00:00,13.1558
2017-01-03T11:00:00,22.0847
2017-01-03T12:00:00,31.8404
2017-01-03T13:00:00,32.0843
2017-01-03T14:00:00,31.7122
2017-01-03T15:00:00,29.1748
2017-01-03T16:00:00,27.611
2017-01-03T17:00:00,22.0126
2017-01-03T18:00:00,14.6741
2017-01-03T19:00:00,21.3895
2017-01-03T20:00:00,25.2662
2017-01-03T21:00:00,32.6795
2017-01-03T22:00:00,42.6199
2017-01-03T23:00:00,46.7497
2017-01-04T00:00:00,48.2939
2017-01-04T01:00:00,50.5915
2017-01-04T02:00:00,52.8575
2017-01-04T03:00:00,53.5658
2017-01-04T04:00:00,51.9745
2017-01-04T05:00:00,50.4129
2017-01-04T06:00:00,45.3837
2017-01-04T07:00:00,43.2969
2017-01-04T08:00:00,31.0829
2017-01-04T09:00:00,27.1519
2017-01-04T10:00:00,28.2588
2017-01-04T11:00:00,28.6235
2017-01-04T12:00:00,35.979
2017-01-04T13:00:00,39.4964
2017-01-04T14:00:00,40.0205
2017-01-04T15:00:00,41.6929
2017-01-04T16:00:00,36.1443
2017-01-04T17:00:00,45.6359
2017-01-04T18:00:00,43.3961
2017-01-04T19:00:00,46.1494
2017-01-04T20:00:00,47.3005
2017-01-04T21:00:00,43.3637
2017-01-04T22:00:00,48.6673
2017-01-04T23:00:00,49.9097
2017-01-05T00:00:00,46.6132
2017-01-05T01:00:00,47.8706
2017-01-05T02:00:00,50.7787
2017-01-05T03:00:00,55.1212
2017-01-05T04:00:00,55.4661
2017-01-05T05:00:00,52.1654
2017-01-05T06:00:00,48.8208
2017-01-05T07:00:00,45.1397
2017-01-05T08:00:00,28.4731
2017-01-05T09:00:00,34.6968
2017-01-05T10:00:00,43.4108
2017-01-05T11:00:00,49.8583
2017-01-05T12:00:00,52.1983
2017-01-05T13:00:00,53.4346
2017-01-05T14:00:00,59.1591
2017-01-05T15:00:00,56.4588
