Time,DsOsieczow21-BaA(PM10)-24g,DsWrocWybCon-BaA(PM10)-24g,KpCiechTezni-BaA(PM10)-24g,KpZielBoryTu-BaA(PM10)-24g,LbLubSliwins-BaA(PM10)-24g,LdLodzLegion-BaA(PM10)-24g,LuZielKrotka-BaA(PM10)-24g,MpKrakBujaka-BaA(PM10)-24g,MzWarAKrzywo-BaA(PM10)-24g,OpOpoleOsAKr-BaA(PM10)-24g,PdBialWaszyn-BaA(PM10)-24g,PdSuwPulaski-BaA(PM10)-24g,PkJasloSikor-BaA(PM10)-24g,PmGdaLecz08m-BaA(PM10)-24g,PmKosTargo12-BaA(PM10)-24g,PmWejhPlWejh-BaA(PM10)-24g,SkKielJagiel-BaA(PM10)-24g,SlKatoKossut-BaA(PM10)-24g,WmOlsPuszkin-BaA(PM10)-24g,WmPuszczaBor-BaA(PM10)-24g,WpPilaKusoci-BaA(PM10)-24g,ZpSzczAndr01-BaA(PM10)-24g,PdSuwPulaskp-BaA(PM10)-24g,SkKielTargow-BaA(PM10)-24g,PkRzeszRejta-BaA(PM10)-24g,KpNaklWawrzy-BaA(PM10)-24g,PmGdaLeczk81-BaA(PM10)-24g,ZpSzczAndrze-BaA(PM10)-24g,PmGdaLeczkow-BaA(PM10)-24g,PdBialPPiech-BaA(PM10)-24g,WpPoznSzyman-BaA(PM10)-24g
2017-01-01T00:00:00,5.723,11.191,13.736816,0.626188,3.57,7.495,5.94,,3.27609,24.882,,,16.6,,14.0,12.0,27.56,,,1.3,,2.1,,,,,,,,,
2017-01-02T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,5.1,3.0,24.0,6.3,,27.8,,,2.47,,,,,,,,,,
2017-01-03T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,5.1,3.0,24.0,6.3,5.77,27.8,,2.34,2.47,,,,,,,,,,
2017-01-04T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,5.1,3.0,24.0,6.3,,27.8,11.59,2.34,2.47,,,,,,,,,,
2017-01-05T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,5.1,3.0,24.0,6.3,4.92,27.8,11.59,2.34,2.47,,,,,,,,,,
2017-01-06T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,5.1,3.0,24.0,6.3,,27.8,11.59,2.34,8.1,,,,,,,,,,
2017-01-07T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,,3.0,24.0,6.3,75.85,27.8,11.59,2.34,8.1,,,,,,,,,,
2017-01-08T00:00:00,4.811,7.233,6.6398,2.599214,10.11,12.91,5.56,38.14,7.96781,26.283,20.424578,20.228406,,3.0,24.0,6.3,,27.8,11.59,2.34,8.1,,,,,,,,,,
2017-01-09T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,19.3,0.11,6.0,11.0,89.94,46.84,10.7,3.0,8.1,3.24,,,,,,,,,
2017-01-10T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,19.3,0.11,6.0,11.0,,46.84,10.7,3.0,10.0,3.24,,,,,,,,,
2017-01-11T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,,0.11,6.0,11.0,42.03,46.84,10.7,,10.0,3.24,,,,,,,,,
2017-01-12T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,19.3,0.11,6.0,11.0,,46.84,10.7,3.0,10.0,3.24,,,,,,,,,
2017-01-13T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,19.3,0.11,6.0,11.0,7.6,46.84,10.7,3.0,10.0,3.24,,,,,,,,,
2017-01-14T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,19.3,0.11,6.0,11.0,,46.84,10.7,3.0,7.8,3.24,,,,,,,,,
2017-01-15T00:00:00,9.25,17.732,9.966953,4.513182,11.97,16.607,6.97,,5.37562,35.975,11.074977,31.060663,19.3,0.11,6.0,11.0,11.63,46.84,10.7,3.0,7.8,3.24,,,,,,,,,
2017-01-16T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,,45.3,5.08,1.69,7.8,,,,,,,,,,
2017-01-17T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,40.8,45.3,5.08,1.69,7.8,,,,,,,,,,
2017-01-18T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,,45.3,5.08,1.69,9.0,,,,,,,,,,
2017-01-19T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,8.05,45.3,5.08,1.69,9.0,,,,,,,,,,
2017-01-20T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,,45.3,5.08,1.69,9.0,,,,,,,,,,
2017-01-21T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,5.17,45.3,5.08,1.69,9.0,,,,,,,,,,
2017-01-22T00:00:00,20.236,13.326,5.796105,3.315036,6.87,10.243,6.78,,11.61719,17.262,15.009432,18.204546,27.5,1.2,26.0,12.0,,45.3,5.08,1.69,13.0,,,,,,,,,,
2017-01-23T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,25.3,0.17,20.0,16.0,31.52,50.03,5.94,1.74,13.0,10.13,,,,,,,,,
2017-01-24T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,25.3,0.17,20.0,16.0,,50.03,5.94,1.74,13.0,10.13,,,,,,,,,
2017-01-25T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,25.3,0.17,20.0,16.0,17.47,50.03,5.94,1.74,13.0,10.13,,,,,,,,,
2017-01-26T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,25.3,0.17,20.0,16.0,,50.03,5.94,1.74,11.1,10.13,,,,,,,,,
2017-01-27T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,,0.17,20.0,16.0,78.29,50.03,5.94,1.74,11.1,10.13,,,,,,,,,
2017-01-28T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,25.3,0.17,20.0,16.0,,50.03,5.94,1.74,11.1,10.13,,,,,,,,,
2017-01-29T00:00:00,24.026,16.747,17.86491,4.920409,13.04,13.11,8.54,67.53,9.19738,15.629,11.692989,10.417369,25.3,0.17,20.0,16.0,17.97,50.03,5.94,1.74,11.1,10.13,,,,,,,,,
2017-01-30T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.18,6.058028,6.817237,9.8,3.7,12.0,15.0,,50.66,4.66,1.22,,,,,,,,,,,
2017-01-31T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.18,6.058028,6.817237,9.8,3.7,12.0,15.0,20.4,50.66,4.66,1.22,,,,,,,,,,,
2017-02-01T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.2,6.058028,6.817237,9.8,3.7,12.0,15.0,,50.66,4.66,1.22,,,,,,,,,,,
2017-02-02T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.2,6.058028,6.817237,9.8,3.7,12.0,15.0,33.9,50.66,4.66,1.22,,,,,,,,,,,
2017-02-03T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.2,6.058028,6.817237,9.8,3.7,12.0,15.0,,50.66,4.66,1.22,,,,,,,,,,,
2017-02-04T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.2,6.058028,6.817237,9.8,3.7,12.0,15.0,6.47,50.66,4.66,1.22,,,,,,,,,,,
2017-02-05T00:00:00,13.493,17.084,9.652785,4.033028,2.9,13.182,5.82,58.42,6.35616,19.2,6.058028,6.817237,9.8,3.7,12.0,15.0,,50.66,4.66,1.22,,,,,,,,,,,
2017-02-06T00:00:00,8.251,7.778,1.902401,1.204365,1.92,6.176,7.45,8.7,2.28117,10.4,7.6447,2.682282,7.2,0.3,10.0,,6.03,13.02,3.4,0.92,5.3,4.3,,,,,,,,,
2017-02-07T00:00:00,8.251,7.778,1.902401,1.204365,1.92,6.176,7.45,8.7,2.28117,10.4,7.6447,2.682282,7.2,0.3,10.0,,,13.02,3.4,0.92,5.3,4.3,,,,,,,,,
2017-02-08T00:00:00,8.251,7.778,1.902401,1.204365,1.92,6.176,7.45,8.7,2.28117,10.4,7.6447,2.682282,7.2,0.3,,,5.76,13.02,3.4,0.92,5.3,4.3,,,,,,,,,
2017-02-09T00:00:00,8.251,7.778,1.902401,1.204365,1.92,6.176,7.45,8.7,2.28117,,7.6447,2.682282,7.2,0.3,10.0,,,13.02,3.4,0.92,5.3,4.3,,,,,,,,,
