Time,DsOsieczow21-BbF(PM10)-24g,DsWrocWybCon-BbF(PM10)-24g,KpCiechTezni-BbF(PM10)-24g,KpZielBoryTu-BbF(PM10)-24g,LbLubSliwins-BbF(PM10)-24g,LdLodzLegion-BbF(PM10)-24g,LuZielKrotka-BbF(PM10)-24g,MpKrakBujaka-BbF(PM10)-24g,MzWarAKrzywo-BbF(PM10)-24g,OpOpoleOsAKr-BbF(PM10)-24g,PdBialWaszyn-BbF(PM10)-24g,PdSuwPulaski-BbF(PM10)-24g,PkJasloSikor-BbF(PM10)-24g,PmGdaLecz08m-BbF(PM10)-24g,PmKosTargo12-BbF(PM10)-24g,PmWejhPlWejh-BbF(PM10)-24g,SkKielJagiel-BbF(PM10)-24g,SlKatoKossut-BbF(PM10)-24g,WmOlsPuszkin-BbF(PM10)-24g,WmPuszczaBor-BbF(PM10)-24g,WpPilaKusoci-BbF(PM10)-24g,ZpSzczAndr01-BbF(PM10)-24g,PdSuwPulaskp-BbF(PM10)-24g,SkKielTargow-BbF(PM10)-24g,PkRzeszRejta-BbF(PM10)-24g,KpNaklWawrzy-BbF(PM10)-24g,PmGdaLeczk81-BbF(PM10)-24g,ZpSzczAndrze-BbF(PM10)-24g,PmGdaLeczkow-BbF(PM10)-24g,PdBialPPiech-BbF(PM10)-24g,WpPoznSzyman-BbF(PM10)-24g
2017-01-01T00:00:00,10.116,17.845,9.092217,0.814045,7.95,9.979,4.56,,3.34866,13.478,,,8.4,,14.0,13.0,19.05,,,1.64,,3.44,,,,,,,,,
2017-01-02T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,3.49,4.5,30.0,7.7,,20.51,,,,,,,,,,,,,
2017-01-03T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,3.49,4.5,30.0,7.7,4.26,20.51,,1.86,,,,,,,,,,,
2017-01-04T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,3.49,4.5,30.0,7.7,,20.51,8.37,1.86,,,,,,,,,,,
2017-01-05T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,3.49,4.5,30.0,7.7,3.42,20.51,8.37,1.86,,,,,,,,,,,
2017-01-06T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,3.49,4.5,30.0,7.7,,20.51,8.37,1.86,,,,,,,,,,,
2017-01-07T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,,4.5,30.0,7.7,41.3,20.51,8.37,1.86,,,,,,,,,,,
2017-01-08T00:00:00,5.224,7.907,6.634617,2.232712,8.02,9.541,4.51,11.79,5.64538,13.608,5.777073,5.271111,,4.5,30.0,7.7,,20.51,8.37,1.86,9.0,,,,,,,,,,
2017-01-09T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,11.6,0.25,10.0,15.0,55.72,32.66,8.54,3.19,9.0,5.46,,,,,,,,,
2017-01-10T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,11.6,0.25,10.0,15.0,,32.66,8.54,3.19,9.2,5.46,,,,,,,,,
2017-01-11T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,,0.25,10.0,15.0,27.38,32.66,8.54,,9.2,5.46,,,,,,,,,
2017-01-12T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,11.6,0.25,10.0,15.0,,32.66,8.54,3.19,9.2,5.46,,,,,,,,,
2017-01-13T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,11.6,0.25,10.0,15.0,6.45,32.66,8.54,3.19,9.2,5.46,,,,,,,,,
2017-01-14T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,11.6,0.25,10.0,15.0,,32.66,8.54,3.19,6.26,5.46,,,,,,,,,
2017-01-15T00:00:00,9.036,17.602,6.266275,4.52154,10.04,12.668,5.6,,8.4548,20.32,4.670614,9.518004,11.6,0.25,10.0,15.0,8.28,32.66,8.54,3.19,6.26,5.46,,,,,,,,,
2017-01-16T00:00:00,19.799,15.219,5.24138,3.045109,7.08,8.706,6.67,,10.10867,12.83,5.955457,5.841641,14.5,1.8,27.0,14.0,,34.57,4.12,1.87,6.26,,,,,,,,,,
2017-01-17T00:00:00,19.799,15.219,5.24138,3.045109,7.08,8.706,6.67,,10.10867,12.83,5.955457,5.841641,14.5,1.8,27.0,14.0,24.21,34.57,4.12,1.87,6.26,,,,,,,,,,
2017-01-18T00:00:00,19.799,15.219,5.24138,3.045109,7.08,8.706,6.67,,10.10867,12.83,5.955457,5.841641,14.5,1.8,27.0,14.0,,34.57,4.12,1.87,7.6,,,,,,,,,,
2017-01-19T00:00:00,19.799,15.219,5.24138,3.045109,7.08,8.706,6.67,,10.10867,12.83,5.955457,5.841641,14.5,1.8,27.0,14.0,5.88,34.57,4.12,1.87,7.6,,,,,,,,,,
