Time,DsOsieczow21-BjF(PM10)-24g,DsWrocWybCon-BjF(PM10)-24g,KpCiechTezni-BjF(PM10)-24g,KpZielBoryTu-BjF(PM10)-24g,LbLubSliwins-BjF(PM10)-24g,LdLodzLegion-BjF(PM10)-24g,LuZielKrotka-BjF(PM10)-24g,MpKrakBujaka-BjF(PM10)-24g,MzWarAKrzywo-BjF(PM10)-24g,OpOpoleOsAKr-BjF(PM10)-24g,PdBialWaszyn-BjF(PM10)-24g,PdSuwPulaski-BjF(PM10)-24g,PkJasloSikor-BjF(PM10)-24g,PmGdaLecz08m-BjF(PM10)-24g,PmKosTargo12-BjF(PM10)-24g,PmWejhPlWejh-BjF(PM10)-24g,SkKielJagiel-BjF(PM10)-24g,SlKatoKossut-BjF(PM10)-24g,WmOlsPuszkin-BjF(PM10)-24g,WmPuszczaBor-BjF(PM10)-24g,WpPilaKusoci-BjF(PM10)-24g,ZpSzczAndr01-BjF(PM10)-24g,PdSuwPulaskp-BjF(PM10)-24g,SkKielTargow-BjF(PM10)-24g,PkRzeszRejta-BjF(PM10)-24g,KpNaklWawrzy-BjF(PM10)-24g,PmGdaLeczk81-BjF(PM10)-24g,ZpSzczAndrze-BjF(PM10)-24g,PmGdaLeczkow-BjF(PM10)-24g,PdBialPPiech-BjF(PM10)-24g,WpPoznSzyman-BjF(PM10)-24g
2017-01-01T00:00:00,7.847,11.826,10.67843,0.546871,1.9,8.025,1.85,,6.31892,16.692,,,3.13,,0.005,0.005,7.15,,,1.32,,2.15,,,,,,,,,
2017-01-02T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,1.1,0.42,0.005,0.005,,13.22,,,5.52,,,,,,,,,,
2017-01-03T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,1.1,0.42,0.005,0.005,1.89,13.22,,2.1,5.52,,,,,,,,,,
2017-01-04T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,1.1,0.42,0.005,0.005,,13.22,3.17,2.1,5.52,,,,,,,,,,
2017-01-05T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,1.1,0.42,0.005,0.005,2.28,13.22,3.17,2.1,5.52,,,,,,,,,,
2017-01-06T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,1.1,0.42,0.005,0.005,,13.22,3.17,2.1,20.0,,,,,,,,,,
2017-01-07T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,,0.42,0.005,0.005,27.81,13.22,3.17,2.1,20.0,,,,,,,,,,
2017-01-08T00:00:00,4.074,5.989,5.126278,1.308032,2.5,7.038,2.39,8.64,7.92634,13.398,3.324443,2.811951,,0.42,0.005,0.005,,13.22,3.17,2.1,20.0,,,,,,,,,,
2017-01-09T00:00:00,6.568,14.025,8.261739,2.505234,2.8,7.173,0.93,,15.11082,19.947,2.322173,5.070387,4.26,0.074,0.84,2.0,30.01,25.97,5.52,3.49,20.0,1.96,,,,,,,,,
2017-01-10T00:00:00,6.568,14.025,8.261739,2.505234,2.8,7.173,0.93,,15.11082,19.947,2.322173,5.070387,4.26,0.074,0.84,2.0,,25.97,5.52,3.49,17.9,1.96,,,,,,,,,
