Time,DsOsieczow21-BkF(PM10)-24g,DsWrocWybCon-BkF(PM10)-24g,KpCiechTezni-BkF(PM10)-24g,KpZielBoryTu-BkF(PM10)-24g,LbLubSliwins-BkF(PM10)-24g,LdLodzLegion-BkF(PM10)-24g,LuZielKrotka-BkF(PM10)-24g,MpKrakBujaka-BkF(PM10)-24g,MzWarAKrzywo-BkF(PM10)-24g,OpOpoleOsAKr-BkF(PM10)-24g,PdBialWaszyn-BkF(PM10)-24g,PdSuwPulaski-BkF(PM10)-24g,PkJasloSikor-BkF(PM10)-24g,PmGdaLecz08m-BkF(PM10)-24g,PmKosTargo12-BkF(PM10)-24g,PmWejhPlWejh-BkF(PM10)-24g,SkKielJagiel-BkF(PM10)-24g,SlKatoKossut-BkF(PM10)-24g,WmOlsPuszkin-BkF(PM10)-24g,WmPuszczaBor-BkF(PM10)-24g,WpPilaKusoci-BkF(PM10)-24g,ZpSzczAndr01-BkF(PM10)-24g,PdSuwPulaskp-BkF(PM10)-24g,SkKielTargow-BkF(PM10)-24g,PkRzeszRejta-BkF(PM10)-24g,KpNaklWawrzy-BkF(PM10)-24g,PmGdaLeczk81-BkF(PM10)-24g,ZpSzczAndrze-BkF(PM10)-24g,PmGdaLeczkow-BkF(PM10)-24g,PdBialPPiech-BkF(PM10)-24g,WpPoznSzyman-BkF(PM10)-24g
2017-01-01T00:00:00,4.572,8.015,5.308113,0.457118,13.34,8.197,2.44,,1.68988,7.257,,,4.95,,6.0,5.5,11.53,,,0.65,,1.2,,,,,,,,,
2017-01-02T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,2.23,1.8,10.0,3.2,,10.83,,,1.16,,,,,,,,,,
2017-01-03T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,2.23,1.8,10.0,3.2,2.69,10.83,,0.93,1.16,,,,,,,,,,
2017-01-04T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,2.23,1.8,10.0,3.2,,10.83,4.25,0.93,1.16,,,,,,,,,,
2017-01-05T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,2.23,1.8,10.0,3.2,2.05,10.83,4.25,0.93,1.16,,,,,,,,,,
2017-01-06T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,2.23,1.8,10.0,3.2,,10.83,4.25,0.93,4.58,,,,,,,,,,
2017-01-07T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,,1.8,10.0,3.2,25.8,10.83,4.25,0.93,4.58,,,,,,,,,,
2017-01-08T00:00:00,2.211,3.474,3.503907,1.259586,2.44,7.166,2.48,8.73,2.76826,7.543,3.839127,2.645932,,1.8,10.0,3.2,,10.83,4.25,0.93,4.58,,,,,,,,,,
2017-01-09T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,6.9,0.097,3.9,6.2,33.89,19.34,5.65,1.48,4.58,1.99,,,,,,,,,
2017-01-10T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,6.9,0.097,3.9,6.2,,19.34,5.65,1.48,4.94,1.99,,,,,,,,,
2017-01-11T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,,0.097,3.9,6.2,16.31,19.34,5.65,,4.94,1.99,,,,,,,,,
2017-01-12T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,6.9,0.097,3.9,6.2,,19.34,5.65,1.48,4.94,1.99,,,,,,,,,
2017-01-13T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,6.9,0.097,3.9,6.2,3.91,19.34,5.65,1.48,4.94,1.99,,,,,,,,,
2017-01-14T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,6.9,0.097,3.9,6.2,,19.34,5.65,1.48,3.42,1.99,,,,,,,,,
2017-01-15T00:00:00,3.65,7.829,3.996111,2.394494,3.29,9.717,2.96,,3.97599,11.508,2.76349,5.682778,6.9,0.097,3.9,6.2,5.1,19.34,5.65,1.48,3.42,1.99,,,,,,,,,
2017-01-16T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,,19.94,2.87,0.84,3.42,,,,,,,,,,
2017-01-17T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,14.93,19.94,2.87,0.84,3.42,,,,,,,,,,
2017-01-18T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,,19.94,2.87,0.84,4.26,,,,,,,,,,
2017-01-19T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,3.39,19.94,2.87,0.84,4.26,,,,,,,,,,
2017-01-20T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,,19.94,2.87,0.84,4.26,,,,,,,,,,
2017-01-21T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,3.84,19.94,2.87,0.84,4.26,,,,,,,,,,
2017-01-22T00:00:00,7.872,6.922,2.986187,1.701803,2.4,7.07,3.33,,4.04347,6.998,3.628942,3.657511,8.6,0.71,11.0,5.7,,19.94,2.87,0.84,5.8,,,,,,,,,,
2017-01-23T00:00:00,8.916,7.466,8.460689,2.795735,4.41,8.624,3.87,16.91,3.8573,5.365,2.839125,2.30863,8.4,0.15,9.1,8.0,11.84,20.15,3.4,1.04,5.8,6.11,,,,,,,,,
