Time,LbBiaPodOrze-C6H6-24g,MpKrakBujaka-C6H6-24g,MpTarRoSitko-C6H6-24g,PdBialWaszyn-C6H6-24g,PmLebMalcz16-C6H6-24g,PmLinieKos17-C6H6-24g,PmMalMicki15-C6H6-24g
2017-01-01T00:00:00,,,,,3.0,1.5,1.6
2017-01-02T00:00:00,,,7.0,,3.1,0.9,2.3
2017-01-03T00:00:00,,,,,4.3,1.9,1.7
2017-01-04T00:00:00,,1.2,1.5,,1.5,1.1,1.4
2017-01-05T00:00:00,,1.48,,,2.0,0.9,3.1
2017-01-06T00:00:00,,5.68,,,12.6,13.9,4.9
2017-01-07T00:00:00,,15.7,1.7,,6.7,3.0,4.0
2017-01-08T00:00:00,,,,,7.1,3.1,5.7
2017-01-09T00:00:00,,,,,9.4,4.7,5.6
2017-01-10T00:00:00,6.37,,7.5,,7.5,5.4,6.8
2017-01-11T00:00:00,9.39,15.47,,,5.8,4.0,3.6
2017-01-12T00:00:00,4.35,,7.3,,3.2,1.8,2.1
2017-01-13T00:00:00,3.76,2.41,,,9.5,3.4,3.4
2017-01-14T00:00:00,3.49,,,,5.2,1.9,3.2
2017-01-15T00:00:00,4.02,,7.4,,6.6,2.3,3.0
2017-01-16T00:00:00,8.03,5.48,,,8.1,2.4,6.1
2017-01-17T00:00:00,7.31,,,,22.9,7.1,7.9
2017-01-18T00:00:00,,2.41,7.9,,6.9,4.1,5.9
2017-01-19T00:00:00,,,,,6.4,1.8,3.5
2017-01-20T00:00:00,,7.59,4.9,,5.8,4.4,3.3
2017-01-21T00:00:00,,7.87,,,6.7,1.6,4.0
2017-01-22T00:00:00,,,,,6.9,3.6,4.2
2017-01-23T00:00:00,,,6.3,,5.8,3.5,5.9
2017-01-24T00:00:00,6.23,5.83,,,5.4,2.1,5.2
2017-01-25T00:00:00,3.87,,,0.26,5.6,3.0,4.8
2017-01-26T00:00:00,7.22,16.62,5.5,0.26,7.9,2.5,5.5
2017-01-27T00:00:00,8.76,,,0.26,17.6,8.7,11.8
2017-01-28T00:00:00,6.55,,,0.26,9.3,7.5,8.9
2017-01-29T00:00:00,2.45,,,0.26,7.5,6.9,8.8
2017-01-30T00:00:00,3.1,30.19,6.7,0.26,10.2,7.4,9.7
2017-01-31T00:00:00,3.41,14.45,,0.26,7.8,6.3,9.2
2017-02-01T00:00:00,,20.74,4.1,,9.5,4.5,5.6
2017-02-02T00:00:00,,21.05,,,10.5,5.8,7.7
2017-02-03T00:00:00,,,3.8,,7.8,2.5,5.1
2017-02-04T00:00:00,,,,,6.8,3.3,3.6
2017-02-05T00:00:00,,,,,5.0,2.9,5.1
2017-02-06T00:00:00,,,3.5,,4.0,1.9,4.3
2017-02-07T00:00:00,2.25,1.02,,,4.8,1.9,3.8
2017-02-08T00:00:00,2.56,3.28,,,5.0,2.0,4.1
2017-02-09T00:00:00,3.2,4.17,3.7,,6.3,2.4,5.6
2017-02-10T00:00:00,3.5,,,,7.9,2.8,5.0
2017-02-11T00:00:00,3.24,,,,4.4,2.0,6.2
2017-02-12T00:00:00,2.1,,3.2,,5.7,2.1,2.7
2017-02-13T00:00:00,4.77,,,,6.9,2.8,4.5
2017-02-14T00:00:00,5.08,,6.3,,7.9,4.4,7.5
2017-02-15T00:00:00,,8.15,,,13.2,6.4,8.6
2017-02-16T00:00:00,,5.46,12.0,,8.9,4.6,7.5
2017-02-17T00:00:00,,4.18,,,5.3,1.4,4.8
2017-02-18T00:00:00,,3.79,,,3.9,1.5,3.5
2017-02-19T00:00:00,,,,,3.9,1.9,2.7
2017-02-20T00:00:00,,,10.9,,2.0,0.8,1.7
2017-02-21T00:00:00,2.41,,,,1.8,0.9,1.7
2017-02-22T00:00:00,1.62,0.19,2.3,,2.3,0.8,1.8
2017-02-23T00:00:00,1.17,0.74,,,4.5,1.1,2.0
2017-02-24T00:00:00,1.12,0.67,2.2,,8.2,1.4,2.1
2017-02-25T00:00:00,1.68,1.42,,,4.8,1.6,2.4
2017-02-26T00:00:00,2.09,,,,4.3,1.5,1.9
2017-02-27T00:00:00,3.13,0.93,1.4,,5.1,2.9,3.1
2017-02-28T00:00:00,2.33,,,,6.0,3.4,3.4
2017-03-01T00:00:00,,1.11,,,5.7,2.4,2.7
2017-03-02T00:00:00,,0.57,1.3,,4.3,1.4,2.5
