Time,DsGlogWiStwo-Cd(PM10)-24g,DsJelGorSoko-Cd(PM10)-24g,DsLegAlRzecz-Cd(PM10)-24g,DsNowRudSreb-Cd(PM10)-24g,DsOlawZolnAK-Cd(PM10)-24g,DsOsieczow21-Cd(PM10)-24g,DsPolKasztan-Cd(PM10)-24g,DsSzczaKolej-Cd(PM10)-24g,DsWalbrzWyso-Cd(PM10)-24g,DsWrocWybCon-Cd(PM10)-24g,DsZgorBohGet-Cd(PM10)-24g,KpBrodKochan-Cd(PM10)-24g,KpBydPlPozna-Cd(PM10)-24g,KpCiechTezni-Cd(PM10)-24g,KpGrudSienki-Cd(PM10)-24g,KpInowSolank-Cd(PM10)-24g,KpKoniczynka-Cd(PM10)-24g,KpNaklSkargi-Cd(PM10)-24g,KpToruDziewu-Cd(PM10)-24g,KpWloclOkrze-Cd(PM10)-24g,KpZielBoryTu-Cd(PM10)-24g,LbLubSliwins-Cd(PM10)-24g,LbZamoHrubie-Cd(PM10)-24g,LdLodzLegion-Cd(PM10)-24g,LdLodzRudzka-Cd(PM10)-24g,LdPabiKilins-Cd(PM10)-24g,LdPioTrKraPr-Cd(PM10)-24g,LdSieraPolna-Cd(PM10)-24g,LdSkierKonop-Cd(PM10)-24g,LuGorzKosGdy-Cd(PM10)-24g,LuGorzPilsud-Cd(PM10)-24g,LuSulecDudka-Cd(PM10)-24g,LuWsKaziWiel-Cd(PM10)-24g,LuZarySzyman-Cd(PM10)-24g,LuZielKrotka-Cd(PM10)-24g,MpKrakBujaka-Cd(PM10)-24g,MpKrakBulwar-Cd(PM10)-24g,MpKrakWadow-Cd(PM10)-24g,MpNoSaczNadb-Cd(PM10)-24g,MpTarBitStud-Cd(PM10)-24g,MpTrzebOsZWM-Cd(PM10)-24g,MzGutyDuCzer-Cd(PM10)-24g,MzKonJezMos-Cd(PM10)-24g,MzOstroHalle-Cd(PM10)-24g,MzOtwoBrzozo-Cd(PM10)-24g,MzPlocKroJad-Cd(PM10)-24g,MzRad25Czerw-Cd(PM10)-24g,MzSiedKonars-Cd(PM10)-24g,MzWarAKrzywo-Cd(PM10)-24g,MzWarAlNiepo-Cd(PM10)-24g,OpGlubRatusz-Cd(PM10)-24g,OpOpoleOsAKr-Cd(PM10)-24g,PdBialWaszyn-Cd(PM10)-24g,PdSuwPulaski-Cd(PM10)-24g,PkJasloSikor-Cd(PM10)-24g,PkKrosKletow-Cd(PM10)-24g,PkPrzemGrunw-Cd(PM10)-24g,PkRymZdrPark-Cd(PM10)-24g,PkRzeszRejta-Cd(PM10)-24g,PmGdyJozBema-Cd(PM10)-24g,PmKosTargo12-Cd(PM10)-24g,SkKielJagiel-Cd(PM10)-24g,SlBielKossak-Cd(PM10)-24g,SlCzestoBacz-Cd(PM10)-24g,SlGodGliniki-Cd(PM10)-24g,SlKatoKossut-Cd(PM10)-24g,SlPszczBoged-Cd(PM10)-24g,SlRybniBorki-Cd(PM10)-24g,SlTarnoLitew-Cd(PM10)-24g,WmElbBazynsk-Cd(PM10)-24g,WmNiTraugutt-Cd(PM10)-24g,WmOlsPuszkin-Cd(PM10)-24g,WmPuszczaBor-Cd(PM10)-24g,WpKaliSawick-Cd(PM10)-24g,WpNoTomSzpit-Cd(PM10)-24g,WpOstWieWyso-Cd(PM10)-24g,WpPilaKusoci-Cd(PM10)-24g,WpPoznChwial-Cd(PM10)-24g,ZpKoszSpasow-Cd(PM10)-24g,ZpSzczAndr01-Cd(PM10)-24g,ZpSzczec1Maj-Cd(PM10)-24g,ZpWiduBulRyb-Cd(PM10)-24g,KpBydWarszaw-Cd(PM10)-24g,KpWieniZdroj-Cd(PM10)-24g,KpWloclGniaz-Cd(PM10)-24g,OpZdziePiast-Cd(PM10)-24g,PdSuwPulaskp-Cd(PM10)-24g,PkStWolWoPol-Cd(PM10)-24g,PmMalMicki15-Cd(PM10)-24g,SkKielTargow-Cd(PM10)-24g,DsJaworMOB-Cd(PM10)-24g,LuNowaSolMOB-Cd(PM10)-24g,MzMinMazKaziMOB-Cd(PM10)-24g,MzWarBajkowa-Cd(PM10)-24g,MzWarChrosci-Cd(PM10)-24g,OpNysaRodzie-Cd(PM10)-24g,SkStaraZlota-Cd(PM10)-24g,LbBiaPodOrze-Cd(PM10)-24g,LuSmolBytnic-Cd(PM10)-24g,LuSwiebodMOB-Cd(PM10)-24g,OpStrzOpWyszMOB-Cd(PM10)-24g,PkMielPogodn-Cd(PM10)-24g,PmGdaLecz08m-Cd(PM10)-24g,PmLebMalcz16-Cd(PM10)-24g,KpNaklWawrzy-Cd(PM10)-24g,LuGubinAnderMOB-Cd(PM10)-24g,LuNowaSolKos-Cd(PM10)-24g,OpBrzegPoprzMOB-Cd(PM10)-24g,PdSuwPulask2-Cd(PM10)-24g,PmChojPlEmsdMOB-Cd(PM10)-24g,PmGdaLeczk81-Cd(PM10)-24g,SlDabroTysia-Cd(PM10)-24g,WpPoznSpycha-Cd(PM10)-24g,ZpKoszChopin-Cd(PM10)-24g,ZpSzczAndrze-Cd(PM10)-24g,LbChelmPolan-Cd(PM10)-24g,LuZaganKochaMOB-Cd(PM10)-24g,OpKrap3MajaMOB-Cd(PM10)-24g,PmGdaLeczkow-Cd(PM10)-24g,LuMiedzyrMOB-Cd(PM10)-24g,OpKKozBSmial-Cd(PM10)-24g,PdBialPPiech-Cd(PM10)-24g,PdLomSikorsk-Cd(PM10)-24g,PmLebMalczew-Cd(PM10)-24g,WpPleszAlMic-Cd(PM10)-24g
2017-01-01T00:00:00,,,1.17,1.238,0.331,0.139,,,0.596,0.726,0.302,0.2806,0.367821,0.450982,0.6482,0.254473,0.1938,0.549503,0.1903,0.461209,0.102277,0.38,0.59,0.78,0.48,,0.49,0.52,0.44,0.5,0.01,0.01,1.79,0.01,0.81,,,,,,,0.1199,,0.1624,0.3303,0.1806,0.5093,0.2825,0.2081,0.2109,0.3321,0.4665,,,0.58,0.56,0.36,0.35,0.5,,0.36,2.94,1.42,,0.31,2.12,1.09,0.56,0.99,0.33,0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,,,0.6,0.64,1.03,0.2183,,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,0.39,1.11,0.52,0.75,0.76,,0.52,1.18,1.11,,0.1,3.75,1.3,0.59,3.76,0.46,0.12,,,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,0.88,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,,,0.6,0.64,1.03,0.2183,,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,0.39,1.11,0.52,0.75,0.76,,0.52,1.18,1.11,,0.1,3.75,1.3,0.59,3.76,0.46,0.12,,0.13,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,0.88,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,,,0.6,0.64,1.03,0.2183,,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,0.39,1.11,0.52,0.75,0.76,,0.52,1.18,1.11,2.83,0.1,3.75,1.3,0.59,3.76,0.46,0.12,0.44,0.13,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,0.88,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,0.97,,0.6,0.64,1.03,0.2183,0.7649,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,0.39,1.11,0.52,0.75,0.76,,0.52,1.18,1.11,2.83,0.1,3.75,1.3,0.59,3.76,0.46,0.12,0.44,0.13,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,0.88,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,0.97,,0.6,0.64,1.03,0.2183,0.7649,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,0.39,1.11,0.52,0.75,0.76,,0.52,1.18,1.11,2.83,0.1,3.75,1.3,0.59,3.76,0.46,,0.44,0.13,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,0.88,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,0.97,,0.6,0.64,1.03,0.2183,0.7649,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,,1.11,0.52,0.75,0.76,,0.52,1.18,1.11,2.83,,3.75,1.3,0.59,3.76,0.46,,0.44,0.13,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08T00:00:00,0.389,0.433,0.389,0.722,0.258,0.203,,0.337,0.544,0.285,0.518,0.697,0.823725,0.497596,1.3228,0.305841,0.4529,0.637621,0.399,1.036329,0.122167,0.45,0.31,1.39,0.88,0.88,1.41,0.7,0.56,0.01,0.01,0.01,1.26,0.14,0.63,1.02,0.97,,0.6,0.64,1.03,0.2183,0.7649,0.3334,1.1506,0.2168,0.7362,0.5063,0.4797,0.5266,0.3321,0.4147,0.365374,0.243478,,,0.52,0.75,0.76,,0.52,1.18,1.11,2.83,,3.75,1.3,0.59,3.76,0.46,,0.44,0.13,0.51,0.49,0.55,0.41,0.266,0.26,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09T00:00:00,0.7,0.397,0.57,0.567,0.491,0.265,,0.181,0.233,0.648,0.26,0.7563,0.538783,0.331713,1.1538,0.601327,0.7543,1.150805,0.6657,0.606133,0.325952,0.46,0.48,1.84,1.29,1.03,1.21,1.24,0.91,0.01,0.01,0.01,0.25,0.01,0.19,,1.05,,0.69,1.2,1.22,0.3379,0.5852,0.3791,0.5953,0.5762,1.0255,0.4016,0.5395,0.4877,0.0285,0.1037,0.360252,0.501434,0.93,0.57,1.48,0.47,0.9,,0.38,0.89,0.71,3.91,,1.22,3.33,,2.15,0.79,,0.69,0.18,0.93,0.51,0.95,0.57,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10T00:00:00,0.7,0.397,0.57,0.567,0.491,0.265,,0.181,0.233,0.648,0.26,0.7563,0.538783,0.331713,1.1538,0.601327,0.7543,1.150805,0.6657,0.606133,0.325952,0.46,0.48,1.84,1.29,1.03,1.21,1.24,0.91,0.01,0.01,0.01,0.25,0.01,0.19,,1.05,,0.69,1.2,1.22,0.3379,0.5852,0.3791,0.5953,0.5762,1.0255,0.4016,0.5395,0.4877,0.0285,0.1037,0.360252,0.501434,0.93,0.57,1.48,0.47,0.9,,0.38,0.89,0.71,3.91,,1.22,3.33,,2.15,0.79,,0.69,0.18,0.93,0.51,0.95,0.57,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
