Time,DsOsieczow21-DBahA(PM10)-24g,DsWrocWybCon-DBahA(PM10)-24g,KpCiechTezni-DBahA(PM10)-24g,KpZielBoryTu-DBahA(PM10)-24g,LbLubSliwins-DBahA(PM10)-24g,LdLodzLegion-DBahA(PM10)-24g,LuZielKrotka-DBahA(PM10)-24g,MpKrakBujaka-DBahA(PM10)-24g,MzWarAKrzywo-DBahA(PM10)-24g,OpOpoleOsAKr-DBahA(PM10)-24g,PdBialWaszyn-DBahA(PM10)-24g,PdSuwPulaski-DBahA(PM10)-24g,PkJasloSikor-DBahA(PM10)-24g,PmGdaLecz08m-DBahA(PM10)-24g,PmKosTargo12-DBahA(PM10)-24g,PmWejhPlWejh-DBahA(PM10)-24g,SkKielJagiel-DBahA(PM10)-24g,SlKatoKossut-DBahA(PM10)-24g,WmOlsPuszkin-DBahA(PM10)-24g,WmPuszczaBor-DBahA(PM10)-24g,WpPilaKusoci-DBahA(PM10)-24g,ZpSzczAndr01-DBahA(PM10)-24g,PdSuwPulaskp-DBahA(PM10)-24g,SkKielTargow-DBahA(PM10)-24g,PkRzeszRejta-DBahA(PM10)-24g,KpNaklWawrzy-DBahA(PM10)-24g,PmGdaLeczk81-DBahA(PM10)-24g,ZpSzczAndrze-DBahA(PM10)-24g,PmGdaLeczkow-DBahA(PM10)-24g,PdBialPPiech-DBahA(PM10)-24g,WpPoznSzyman-DBahA(PM10)-24g
2017-01-01T00:00:00,1.229,2.498,3.452347,0.058236,0.85,1.085,0.8,,0.05184,0.0105,,,0.438,,3.5,2.2,8.58,,,0.15,,13.63,,,,,,,,,
2017-01-02T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,0.1,0.82,5.9,1.4,,2.24,,,0.202,,,,,,,,,,
2017-01-03T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,0.1,0.82,5.9,1.4,1.72,2.24,,0.19,0.202,,,,,,,,,,
2017-01-04T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,0.1,0.82,5.9,1.4,,2.24,0.67,0.19,0.202,,,,,,,,,,
2017-01-05T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,0.1,0.82,5.9,1.4,1.4,2.24,0.67,0.19,0.202,,,,,,,,,,
2017-01-06T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,0.1,0.82,5.9,1.4,,2.24,0.67,0.19,1.36,,,,,,,,,,
2017-01-07T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,,0.82,5.9,1.4,21.22,2.24,0.67,0.19,1.36,,,,,,,,,,
2017-01-08T00:00:00,0.381,0.529,2.933745,0.155869,0.76,1.624,0.99,2.53,0.18662,3.11,1.144911,1.369659,,0.82,5.9,1.4,,2.24,0.67,0.19,1.36,,,,,,,,,,
2017-01-09T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,0.52,0.1,2.5,3.1,26.15,7.49,0.68,0.3,1.36,14.37,,,,,,,,,
2017-01-10T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,0.52,0.1,2.5,3.1,,7.49,0.68,0.3,1.53,14.37,,,,,,,,,
2017-01-11T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,,0.1,2.5,3.1,12.02,7.49,0.68,,1.53,14.37,,,,,,,,,
2017-01-12T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,0.52,0.1,2.5,3.1,,7.49,0.68,0.3,1.53,14.37,,,,,,,,,
2017-01-13T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,0.52,0.1,2.5,3.1,2.61,7.49,0.68,0.3,1.53,14.37,,,,,,,,,
2017-01-14T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,0.52,0.1,2.5,3.1,,7.49,0.68,0.3,1.0,14.37,,,,,,,,,
2017-01-15T00:00:00,0.722,1.664,3.234206,0.399082,1.01,2.584,1.25,,0.26956,4.665,0.73553,2.127798,0.52,0.1,2.5,3.1,3.64,7.49,0.68,0.3,1.0,14.37,,,,,,,,,
2017-01-16T00:00:00,1.484,0.998,1.674546,0.231968,0.68,1.673,1.23,,0.21254,2.799,0.756249,1.162103,0.68,0.31,6.5,2.7,,6.25,0.41,0.18,1.0,,,,,,,,,,
2017-01-17T00:00:00,1.484,0.998,1.674546,0.231968,0.68,1.673,1.23,,0.21254,2.799,0.756249,1.162103,0.68,0.31,6.5,2.7,8.53,6.25,0.41,0.18,1.0,,,,,,,,,,
2017-01-18T00:00:00,1.484,0.998,1.674546,0.231968,0.68,1.673,1.23,,0.21254,2.799,0.756249,1.162103,0.68,0.31,6.5,2.7,,6.25,0.41,0.18,0.366,,,,,,,,,,
2017-01-19T00:00:00,1.484,0.998,1.674546,0.231968,0.68,1.673,1.23,,0.21254,2.799,0.756249,1.162103,0.68,0.31,6.5,2.7,2.01,6.25,0.41,0.18,0.366,,,,,,,,,,
2017-01-20T00:00:00,1.484,0.998,1.674546,0.231968,0.68,1.673,1.23,,0.21254,2.799,0.756249,1.162103,0.68,0.31,6.5,2.7,,6.25,0.41,0.18,0.366,,,,,,,,,,
2017-01-21T00:00:00,1.484,0.998,1.674546,0.231968,0.68,1.673,1.23,,0.21254,2.799,0.756249,1.162103,0.68,0.31,6.5,2.7,1.75,6.25,0.41,0.18,0.366,,,,,,,,,,
