Time,Data do,DsOsieczow21-As(cdepoz)-1m,DsOsieczow21-BaA(cdepoz)-1m,DsOsieczow21-BaP(cdepoz)-1m,DsOsieczow21-BbF(cdepoz)-1m,DsOsieczow21-BjF(cdepoz)-1m,DsOsieczow21-BkF(cdepoz)-1m,DsOsieczow21-Cd(cdepoz)-1m,DsOsieczow21-DBahA(cdepoz)-1m,DsOsieczow21-Hg(cdepoz)-1m,DsOsieczow21-IP(cdepoz)-1m,DsOsieczow21-Ni(cdepoz)-1m,KpZielBoryTu-As(cdepoz)-1m,KpZielBoryTu-BaA(cdepoz)-1m,KpZielBoryTu-BaP(cdepoz)-1m,KpZielBoryTu-BbF(cdepoz)-1m,KpZielBoryTu-BjF(cdepoz)-1m,KpZielBoryTu-BkF(cdepoz)-1m,KpZielBoryTu-Cd(cdepoz)-1m,KpZielBoryTu-DBahA(cdepoz)-1m,KpZielBoryTu-Hg(cdepoz)-1m,KpZielBoryTu-IP(cdepoz)-1m,KpZielBoryTu-Ni(cdepoz)-1m,WmPuszczaBor-As(cdepoz)-1m,WmPuszczaBor-BaA(cdepoz)-1m,WmPuszczaBor-BaP(cdepoz)-1m,WmPuszczaBor-BbF(cdepoz)-1m,WmPuszczaBor-BjF(cdepoz)-1m,WmPuszczaBor-BkF(cdepoz)-1m,WmPuszczaBor-Cd(cdepoz)-1m,WmPuszczaBor-DBahA(cdepoz)-1m,WmPuszczaBor-Hg(cdepoz)-1m,WmPuszczaBor-IP(cdepoz)-1m,WmPuszczaBor-Ni(cdepoz)-1m,Rok,2023,Unnamed: 3,2023.1,Unnamed: 5,2023.2,Unnamed: 7,2023.3,Unnamed: 9,2023.4,Unnamed: 11,2023.5,Unnamed: 13,2023.6,Unnamed: 15,2023.7,Unnamed: 17,2023.8,Unnamed: 19,Unnamed: 20,Unnamed: 21,2023.9,Unnamed: 23,2023.10,Unnamed: 25,2023.11,Unnamed: 27,2023.12,Unnamed: 29,2023.13,Unnamed: 31,2023.14,Unnamed: 33,2023.15,Unnamed: 35,2023.16,Unnamed: 37,2023.17,Unnamed: 39,2023.18,Unnamed: 41,2023.19,Unnamed: 43,Unnamed: 44,Unnamed: 45,2023.20,Unnamed: 47,2023.21,Unnamed: 49,Unnamed: 50,2023.22,Unnamed: 52,2023.23,Unnamed: 54,2023.24,Unnamed: 56,2023.25,Unnamed: 58,2023.26,Unnamed: 60,2023.27,Unnamed: 62,2023.28,Unnamed: 64,Unnamed: 65,Unnamed: 66,2023.29,Unnamed: 68,2023.30,Unnamed: 70,Unnamed: 71,Unnamed: 72,2023.31,Unnamed: 74,2023.32,Unnamed: 76,Unnamed: 77,Unnamed: 78
2020-11-27T00:00:00,,,,,,,,,,,,,0.300658,0.016934,0.015861,0.024997,0.010076,0.010558,0.038484,0.001482,0.008779,0.015717,0.601316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.367714,0.062973,0.053631,0.090222,0.04353,0.033874,0.036771,0.007275,0.004057,0.085123,0.551571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31T00:00:00,,0.790096,0.023156,0.010147,0.031179,0.013644,0.011612,0.027886,0.000216,0.001785,0.013283,0.694355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01T00:00:00,,0.790096,0.023156,0.010147,0.031179,0.013644,0.011612,0.027886,0.000216,0.001785,0.013283,0.694355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01T00:00:00,,,,,,,,,,,,,0.300658,0.016934,0.015861,0.024997,0.010076,0.010558,0.038484,0.001482,0.008779,0.015717,0.601316,0.367714,0.062973,0.053631,0.090222,0.04353,0.033874,0.036771,0.007275,0.004057,0.085123,0.551571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03T00:00:00,,0.431281,0.053788,0.121263,0.093649,0.085946,0.042259,0.058883,0.001856,0.015087,0.102337,1.39092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,0.223238,0.057649,0.057021,0.086609,0.050714,0.032041,0.00893,0.009922,0.021079,0.086904,0.074413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04T00:00:00,,,,,,,,,,,,,0.141379,0.003826,0.004576,0.00728,0.004156,0.00314,0.007069,0.00044,0.004581,0.005928,0.282759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01T00:00:00,,0.679245,0.009026,0.009717,0.026542,0.009194,0.009923,0.053274,0.000239,0.002627,0.006776,6.742809,,,,,,,,,,,,0.026317,0.00392,0.001874,0.005469,0.003603,0.002195,0.001316,0.000419,0.000169,0.003791,0.039476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02T00:00:00,,,,,,,,,,,,,0.235185,0.013274,0.013735,0.025014,0.013603,0.010856,0.036689,0.001938,0.008561,0.011844,0.47037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
