Time,Data do,DsOsieczow21-As(cdepoz)-1m,DsOsieczow21-BaA(cdepoz)-1m,DsOsieczow21-BaP(cdepoz)-1m,DsOsieczow21-BbF(cdepoz)-1m,DsOsieczow21-BjF(cdepoz)-1m,DsOsieczow21-BkF(cdepoz)-1m,DsOsieczow21-Cd(cdepoz)-1m,DsOsieczow21-DBahA(cdepoz)-1m,DsOsieczow21-Hg(cdepoz)-1m,DsOsieczow21-IP(cdepoz)-1m,DsOsieczow21-Ni(cdepoz)-1m
2016-12-28T00:00:00,,0.212355,0.00638,0.014649,0.047114,0.023647,0.02739,0.036892,0.00889,0.0018,0.035776,0.214154
2017-02-01T00:00:00,,1.301377,0.007365,0.029604,0.001637,0.039424,0.028601,0.151783,0.01667,0.005279,0.00194,0.469868
2017-03-01T00:00:00,,1.746644,0.022949,0.071792,0.03334,0.036304,0.030895,0.062975,0.018874,0.0,0.076237,0.955746
2017-03-29T00:00:00,,2.533403,0.045949,0.057063,0.107915,0.044661,0.042394,0.167531,0.025028,0.002043,0.106096,2.416948
2017-04-27T00:00:00,,3.13864,0.007081,0.030401,0.067792,0.045366,0.25473,0.304767,0.01213,0.004549,0.001956,3.494959
2017-05-31T00:00:00,,2.818681,0.000946,0.046194,0.130554,0.065062,0.057893,0.18925,0.027699,0.017205,0.107328,1.55988
2017-06-28T00:00:00,,2.971056,0.005419,0.021249,0.061418,0.016781,0.023531,0.432586,0.009745,0.023768,0.0521,2.053594
2017-08-02T00:00:00,,3.167546,0.031647,0.091975,0.110991,0.052416,0.046341,0.135631,0.024103,0.016954,0.087312,0.621642
2017-08-30T00:00:00,,3.064069,0.016583,0.030967,0.053377,0.018987,0.019389,0.460425,0.013059,0.008149,0.057451,0.886217
2017-10-03T00:00:00,,2.506597,0.003975,0.00351,0.006586,0.003917,0.002669,0.12475,0.004352,0.0,0.006557,1.618844
2017-10-31T00:00:00,,0.597003,0.000583,0.004502,0.015168,0.002995,0.006203,0.034031,0.003423,0.001945,0.010375,0.429764
2017-11-28T00:00:00,,1.124312,0.02114,0.028039,0.058898,0.026399,0.025158,0.058898,0.012926,0.003155,0.061211,1.085397
2017-11-28T00:00:00,,1.124312,0.02114,0.028039,0.058898,0.026399,0.025158,0.058898,0.012926,0.003155,0.061211,1.085397
2018-01-01T00:00:00,,1.124312,0.02114,0.028039,0.058898,0.026399,0.025158,0.058898,0.012926,0.003155,0.061211,1.085397
2018-01-03T00:00:00,,0.792777,0.024717,0.025724,0.054927,0.022886,0.021678,0.313083,0.011736,0.0,0.049983,1.506826
2018-01-30T00:00:00,,0.372557,,,,,,0.042321,,0.000225,,0.075637
2018-02-27T00:00:00,,0.811764,0.00638,0.022448,0.046345,0.020037,0.017923,0.070966,0.005866,0.003621,0.042094,0.27445
2018-04-03T00:00:00,,0.50142,0.016228,0.023202,0.071475,0.037834,0.032911,0.092079,0.007175,0.00547,0.048501,0.342789
2018-04-30T00:00:00,,1.134173,0.000855,0.004484,0.007416,0.002827,0.00335,0.088989,0.001396,0.012179,0.008707,0.701442
2018-05-29T00:00:00,,1.107287,0.004008,0.024115,0.004633,0.009428,0.015845,0.031273,0.005953,0.008108,0.0153,0.649778
2018-07-03T00:00:00,,1.618051,0.00012,0.003824,0.003972,0.000548,0.001859,0.298203,0.003142,0.008023,0.006847,0.806351
2018-07-31T00:00:00,,2.207446,0.000582,0.005436,0.005923,0.001149,0.002821,0.218788,0.004073,0.012451,0.009801,4.957414
2018-08-28T00:00:00,,1.150128,0.001297,0.002796,0.002698,0.002985,0.001236,0.505214,0.000436,0.011674,0.003829,0.884125
2018-10-01T00:00:00,,1.557825,0.002909,0.02378,0.033241,0.012291,0.01315,0.011455,0.008064,0.006071,0.036827,1.041223
2018-10-30T00:00:00,,0.451699,,,,,,0.073597,,0.00593,,0.542387
2018-12-04T00:00:00,,0.778911,0.032691,0.062746,0.057632,0.048013,0.023112,0.365852,0.011802,0.00179,0.056255,7.773377
2019-01-01T00:00:00,,0.778911,0.032691,0.062746,0.057632,0.048013,0.023112,0.365852,0.011802,0.00179,0.056255,7.773377
2019-02-06T00:00:00,,0.446058,,,,,,0.168632,,0.001409,,1.495383
2019-03-05T00:00:00,,0.804723,0.026338,0.040205,0.056189,0.057115,0.024597,0.056472,0.003702,0.015326,0.023373,0.564718
2019-04-02T00:00:00,,0.928224,,,,,,0.053705,,0.001981,,0.183207
2019-04-29T00:00:00,,4.682877,0.021,0.01655,0.020011,0.051308,0.013758,0.389755,0.005032,0.013874,0.011373,3.58051
2019-05-30T00:00:00,,1.281681,0.002267,0.005642,0.011721,0.006215,0.005406,0.133275,0.001906,0.013078,0.006066,1.70268
2019-06-25T00:00:00,,0.163977,0.002612,0.002127,0.002844,0.005364,0.001587,0.044141,0.000571,0.000841,0.001196,0.546429
2019-08-01T00:00:00,,1.894248,0.01762,0.032541,0.055199,0.045111,0.022526,0.132437,0.002879,0.001953,0.018591,2.428008
2019-09-02T00:00:00,,1.331207,0.00783,0.011688,0.003587,0.001909,0.00243,0.04636,0.003973,0.002428,0.005921,0.927209
2019-10-01T00:00:00,,0.900448,0.008128,0.013373,0.017924,0.014441,0.006326,0.059289,0.002269,0.005867,0.013013,0.511365
