Time,DsOsieczow21-Hg(TGM)-1g,KpZielBoryTu-Hg(TGM)-1g,MzGranicaKPN-Hg(TGM)-1g,SlZlotPotLes-Hg(TGM)-1g,WmPuszczaBor-Hg(TGM)-1g
2017-01-01T01:00:00,2.41806,1.6,2.16,2.292,
2017-01-01T02:00:00,,1.6,2.167,2.15439,
2017-01-01T03:00:00,2.36268,1.5,2.198,1.96751,
2017-01-01T04:00:00,2.47533,1.5,2.21,1.95066,
2017-01-01T05:00:00,2.52556,1.5,2.15,1.9099,
2017-01-01T06:00:00,2.48119,1.4,2.075,1.87648,
2017-01-01T07:00:00,2.54859,1.4,1.929,1.8777,
2017-01-01T08:00:00,2.80062,1.4,1.78,1.86791,
2017-01-01T09:00:00,2.70124,1.5,1.75,2.01937,
2017-01-01T10:00:00,2.64437,1.4,1.639,2.15877,
2017-01-01T11:00:00,2.43715,1.4,1.673,2.17994,
2017-01-01T12:00:00,2.17174,1.4,1.75,1.80104,
2017-01-01T13:00:00,2.29029,1.4,1.748,1.86728,
2017-01-01T14:00:00,2.48237,,1.826,1.76095,
2017-01-01T15:00:00,2.54912,1.4,1.92,,
2017-01-01T16:00:00,2.46063,1.4,1.871,,
2017-01-01T17:00:00,2.19281,1.4,1.953,,
2017-01-01T18:00:00,2.28419,1.3,1.897,,
2017-01-01T19:00:00,2.39266,1.4,1.758,,
2017-01-01T20:00:00,2.23514,1.4,1.71,,
2017-01-01T21:00:00,2.02301,1.4,1.776,,
2017-01-01T22:00:00,1.88893,1.4,1.896,,
2017-01-01T23:00:00,1.90546,1.4,1.852,,
2017-01-02T00:00:00,1.94486,1.4,1.918,,
2017-01-02T01:00:00,,1.4,1.943,,
2017-01-02T02:00:00,1.88437,1.4,1.933,,
2017-01-02T03:00:00,1.99578,1.4,1.912,,
2017-01-02T04:00:00,2.03818,1.4,1.94,,
2017-01-02T05:00:00,2.00471,1.4,1.904,,
2017-01-02T06:00:00,1.93858,1.4,2.01,,
2017-01-02T07:00:00,1.82463,1.4,2.08,,
2017-01-02T08:00:00,1.69357,1.4,2.105,,
2017-01-02T09:00:00,1.62575,1.4,2.197,,
2017-01-02T10:00:00,1.48564,1.5,2.162,,
2017-01-02T11:00:00,1.49051,1.5,2.008,,
2017-01-02T12:00:00,1.53929,1.4,1.827,,
2017-01-02T13:00:00,1.56669,,1.75,,
2017-01-02T14:00:00,1.53327,1.3,1.707,,
2017-01-02T15:00:00,1.54468,1.3,1.718,,
2017-01-02T16:00:00,1.52108,1.2,1.697,,
2017-01-02T17:00:00,1.43643,1.2,1.657,,
2017-01-02T18:00:00,1.4028,1.2,1.64,,
2017-01-02T19:00:00,1.37831,1.2,1.63,,
2017-01-02T20:00:00,1.32978,,1.502,,
2017-01-02T21:00:00,1.32596,1.2,1.43,,
2017-01-02T22:00:00,1.33736,1.2,1.418,,
2017-01-02T23:00:00,1.29106,1.2,1.387,,
2017-01-03T00:00:00,,1.3,1.377,,
2017-01-03T01:00:00,1.32312,1.3,1.382,,
2017-01-03T02:00:00,1.26338,1.3,1.394,,
2017-01-03T03:00:00,1.31902,1.3,1.403,,
2017-01-03T04:00:00,1.33837,1.3,1.44,,
2017-01-03T05:00:00,1.35438,1.3,1.412,,
2017-01-03T06:00:00,1.33436,1.3,1.519,,
2017-01-03T07:00:00,1.35329,1.2,1.534,,
2017-01-03T08:00:00,1.30459,1.2,1.508,,
2017-01-03T09:00:00,1.35466,1.3,1.486,,
2017-01-03T10:00:00,1.36363,1.3,1.483,,
2017-01-03T11:00:00,1.40289,1.4,1.546,,
2017-01-03T12:00:00,1.45372,,1.596,,
2017-01-03T13:00:00,1.41781,1.3,1.601,,
2017-01-03T14:00:00,1.38869,1.3,1.629,,
2017-01-03T15:00:00,1.3707,1.4,1.575,,
2017-01-03T16:00:00,1.34358,1.4,1.568,,
2017-01-03T17:00:00,1.34922,1.3,1.573,,
2017-01-03T18:00:00,1.29998,1.3,1.55,,
2017-01-03T19:00:00,1.32971,1.3,1.572,,
2017-01-03T20:00:00,1.34009,1.3,1.577,,
2017-01-03T21:00:00,1.30158,1.4,1.613,,
2017-01-03T22:00:00,1.29932,1.4,1.56,,
2017-01-03T23:00:00,,1.3,1.568,,
2017-01-04T00:00:00,1.29262,1.3,1.54,,
2017-01-04T01:00:00,1.28189,1.3,,,
2017-01-04T02:00:00,1.3069,1.3,,,
2017-01-04T03:00:00,1.32447,1.3,,,
2017-01-04T04:00:00,1.32606,1.2,,,
2017-01-04T05:00:00,1.31926,1.2,,,
2017-01-04T06:00:00,1.34279,1.2,1.6,,
2017-01-04T07:00:00,1.32187,1.2,1.546,,
2017-01-04T08:00:00,1.34553,1.2,1.57,,
2017-01-04T09:00:00,1.35339,1.2,1.461,,
2017-01-04T10:00:00,1.35672,1.3,1.44,,
2017-01-04T11:00:00,1.35889,,1.475,,
2017-01-04T12:00:00,1.3817,1.5,1.49,,
2017-01-04T13:00:00,1.34797,1.5,1.495,,
2017-01-04T14:00:00,1.37687,1.4,1.526,,
2017-01-04T15:00:00,1.29686,1.3,1.549,,
2017-01-04T16:00:00,1.28834,1.2,1.52,,
2017-01-04T17:00:00,1.27308,1.2,1.46,1.46473,
2017-01-04T18:00:00,1.27339,1.2,1.477,1.49223,
2017-01-04T19:00:00,1.31034,1.2,1.4,1.45168,
2017-01-04T20:00:00,1.24721,1.2,1.405,1.37332,
2017-01-04T21:00:00,1.25778,1.2,1.37,1.40463,
2017-01-04T22:00:00,,1.3,1.385,1.38952,
2017-01-04T23:00:00,1.27455,1.2,1.388,1.3991,
2017-01-05T00:00:00,1.25904,1.2,1.362,1.39007,
2017-01-05T01:00:00,1.21073,1.2,1.342,1.35625,
2017-01-05T02:00:00,1.26567,1.2,1.34,1.32298,
2017-01-05T03:00:00,1.21874,1.2,1.348,1.37538,
2017-01-05T04:00:00,1.23418,1.1,1.371,1.3619,
2017-01-05T05:00:00,1.24682,1.2,1.365,1.39163,
2017-01-05T06:00:00,1.22665,1.1,1.393,1.44012,
2017-01-05T07:00:00,1.20778,1.1,1.4,1.35828,
2017-01-05T08:00:00,1.25827,1.1,1.397,1.36985,
2017-01-05T09:00:00,1.24231,1.2,1.388,1.38533,
2017-01-05T10:00:00,1.29649,,1.429,1.4832,
2017-01-05T11:00:00,1.33302,1.4,1.452,1.63298,
2017-01-05T12:00:00,1.39366,1.4,1.463,2.15605,
2017-01-05T13:00:00,1.36361,1.3,1.47,2.51622,
2017-01-05T14:00:00,1.3084,1.3,1.459,2.09092,
2017-01-05T15:00:00,1.30059,1.3,1.439,1.89663,
2017-01-05T16:00:00,1.25095,1.2,1.43,1.45492,
2017-01-05T17:00:00,1.25712,1.2,1.401,,
2017-01-05T18:00:00,1.24676,1.2,1.398,1.24335,
2017-01-05T19:00:00,1.23316,1.2,1.393,1.40697,
2017-01-05T20:00:00,1.25232,1.2,1.39,1.31098,
2017-01-05T21:00:00,,1.2,1.41,1.35742,
2017-01-05T22:00:00,1.18839,1.2,1.378,1.27105,
