Time,DsOsieczow21-IP(PM10)-24g,DsWrocWybCon-IP(PM10)-24g,KpCiechTezni-IP(PM10)-24g,KpZielBoryTu-IP(PM10)-24g,LbLubSliwins-IP(PM10)-24g,LdLodzLegion-IP(PM10)-24g,LuZielKrotka-IP(PM10)-24g,MpKrakBujaka-IP(PM10)-24g,MzWarAKrzywo-IP(PM10)-24g,OpOpoleOsAKr-IP(PM10)-24g,PdBialWaszyn-IP(PM10)-24g,PdSuwPulaski-IP(PM10)-24g,PkJasloSikor-IP(PM10)-24g,PmGdaLecz08m-IP(PM10)-24g,PmKosTargo12-IP(PM10)-24g,PmWejhPlWejh-IP(PM10)-24g,SkKielJagiel-IP(PM10)-24g,SlKatoKossut-IP(PM10)-24g,WmOlsPuszkin-IP(PM10)-24g,WmPuszczaBor-IP(PM10)-24g,WpPilaKusoci-IP(PM10)-24g,ZpSzczAndr01-IP(PM10)-24g,PdSuwPulaskp-IP(PM10)-24g,SkKielTargow-IP(PM10)-24g,PkRzeszRejta-IP(PM10)-24g,KpNaklWawrzy-IP(PM10)-24g,PmGdaLeczk81-IP(PM10)-24g,ZpSzczAndrze-IP(PM10)-24g,PmGdaLeczkow-IP(PM10)-24g,PdBialPPiech-IP(PM10)-24g,WpPoznSzyman-IP(PM10)-24g
2017-01-01T00:00:00,3.672,7.077,6.127138,0.822394,0.9,17.47,3.51,,1.30629,9.331,,,3.84,,13.0,9.3,17.05,,,1.11,,1.36,,,,,,,,,
2017-01-02T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,2.03,4.3,20.0,7.0,,16.3,,,2.81,,,,,,,,,,
2017-01-03T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,2.03,4.3,20.0,7.0,3.92,16.3,,1.39,2.81,,,,,,,,,,
2017-01-04T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,2.03,4.3,20.0,7.0,,16.3,5.12,1.39,2.81,,,,,,,,,,
2017-01-05T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,2.03,4.3,20.0,7.0,2.85,16.3,5.12,1.39,2.81,,,,,,,,,,
2017-01-06T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,2.03,4.3,20.0,7.0,,16.3,5.12,1.39,5.9,,,,,,,,,,
2017-01-07T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,,4.3,20.0,7.0,36.82,16.3,5.12,1.39,5.9,,,,,,,,,,
2017-01-08T00:00:00,2.314,4.018,3.804538,2.05578,6.38,14.132,3.24,15.74,3.02227,10.109,4.579643,2.811951,,4.3,20.0,7.0,,16.3,5.12,1.39,5.9,,,,,,,,,,
2017-01-09T00:00:00,4.467,8.788,5.048264,3.405781,8.12,18.25,4.6,,4.87279,15.344,3.661887,7.478432,3.83,0.32,9.7,15.0,46.82,31.19,8.19,2.2,5.9,1.76,,,,,,,,,
2017-01-10T00:00:00,4.467,8.788,5.048264,3.405781,8.12,18.25,4.6,,4.87279,15.344,3.661887,7.478432,3.83,0.32,9.7,15.0,,31.19,8.19,2.2,5.85,1.76,,,,,,,,,
